timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2017-10-06,1270.6000,1272.5000,1269.3000,1270.9000,1270.9000,16394611,0.0000,1.0000
2017-10-05,1277.1000,1281.6000,1268.5000,1271.4000,1271.4000,102536945,0.0000,1.0000
2017-10-04,1277.9000,1285.0000,1273.1000,1276.5000,1276.5000,138307545,0.0000,1.0000
2017-10-03,1272.2000,1277.4000,1271.2000,1275.0000,1275.0000,115633873,0.0000,1.0000
2017-10-02,1277.6000,1279.9000,1272.0000,1274.3000,1274.3000,143107069,0.0000,1.0000
2017-10-01,1282.2000,1282.8000,1279.1000,1280.2000,1280.2000,391483,0.0000,1.0000
2017-09-29,1287.7000,1292.8000,1286.4000,1290.2000,1290.2000,26747037,0.0000,1.0000
2017-09-28,1283.8000,1291.6000,1280.4000,1289.4000,1289.4000,163498343,0.0000,1.0000
2017-09-27,1297.7000,1298.7000,1284.1000,1286.3000,1286.3000,197257988,0.0000,1.0000
2017-09-26,1316.6000,1316.8000,1295.0000,1296.9000,1296.9000,193168543,0.0000,1.0000
2017-09-25,1296.5000,1315.8000,1293.6000,1311.6000,1311.6000,177681685,0.0000,1.0000
2017-09-24,1301.5000,1301.5000,1291.7000,1295.1000,1295.1000,598702,0.0000,1.0000
2017-09-22,1299.6000,1301.9000,1296.5000,1300.3000,1300.3000,155345399,0.0000,1.0000
2017-09-21,1302.4000,1302.6000,1291.2000,1294.9000,1294.9000,218089647,0.0000,1.0000
2017-09-20,1315.7000,1319.8000,1299.5000,1302.4000,1302.4000,136123143,0.0000,1.0000
2017-09-19,1312.4000,1315.3000,1308.7000,1314.5000,1314.5000,151499633,0.0000,1.0000
2017-09-18,1321.4000,1322.1000,1308.1000,1311.8000,1311.8000,141484781,0.0000,1.0000
2017-09-17,1324.0000,1324.0000,1318.0000,1319.6000,1319.6000,458638,0.0000,1.0000
2017-09-15,1333.6000,1335.1000,1323.5000,1323.9000,1323.9000,183112738,0.0000,1.0000
2017-09-14,1325.6000,1337.5000,1319.7000,1337.5000,1337.5000,174086237,0.0000,1.0000
