timestamp,open,high,low,close,adjusted_close,volume
2017-10-04,1277.9,1285.0,1273.1,1276.5,1276.5,138307545
2017-10-03,1272.2,1277.4,1271.2,1275.0,1275.0,115633873
2017-10-02,1277.6,1279.9,1272.0,1274.3,1274.3,143107069
2017-10-01,1282.2,1282.8,1279.1,1280.2,1280.2,391483
2017-09-29,1287.7,1292.8,1286.4,1290.2,1290.2,26747037
2017-09-28,1283.8,1291.6,1280.4,1289.4,1289.4,163498343
2017-09-27,1297.7,1298.7,1284.1,1286.3,1286.3,197257988
2017-09-26,1316.6,1316.8,1295.0,1296.9,1296.9,193168543
2017-09-25,1296.5,1315.8,1293.6,1311.6,1311.6,177681685
2017-09-24,1301.5,1301.5,1291.7,1295.1,1295.1,598702
2017-09-22,1299.6,1301.9,1296.5,1300.3,1300.3,155345399
2017-09-21,1302.4,1302.6,1291.2,1294.9,1294.9,218089647
2017-09-20,1315.7,1319.8,1299.5,1302.4,1302.4,136123143
2017-09-19,1312.4,1315.3,1308.7,1314.5,1314.5,151499633
2017-09-18,1321.4,1322.1,1308.1,1311.8,1311.8,141484781
2017-09-17,1324.0,1324.0,1318.0,1319.6,1319.6,458638
2017-09-15,1333.6,1335.1,1323.5,1323.9,1323.9,183112738
2017-09-14,1325.6,1337.5,1319.7,1337.5,1337.5,174086237
2017-09-13,1336.0,1339.1,1324.5,1325.9,1325.9,146092059
2017-09-12,1329.2,1340.5,1326.7,1335.5,1335.5,157320088
2017-09-11,1341.8,1343.3,1330.6,1331.8,1331.8,165149982
2017-09-10,1341.5,1344.6,1337.3,1342.9,1342.9,1227861
2017-09-08,1358.1,1362.4,1347.4,1351.1,1351.1,225759739
2017-09-07,1339.6,1354.8,1338.8,1353.7,1353.7,173328267
2017-09-06,1343.1,1347.0,1336.4,1337.7,1337.7,148686639
2017-09-05,1338.9,1349.7,1331.1,1347.1,1347.1,482458850
2017-09-03,1339.7,1343.5,1338.3,1341.3,1341.3,1394012
2017-09-01,1325.3,1334.5,1321.5,1330.0,1330.0,174689060
2017-08-31,1308.2,1329.0,1307.5,1326.7,1326.7,185101855
2017-08-30,1318.4,1319.3,1310.1,1312.9,1312.9,173632705
2017-08-29,1322.1,1331.9,1310.6,1313.7,1313.7,257314719
2017-08-28,1299.4,1330.0,1299.1,1323.1,1323.1,144247736
2017-08-27,1297.6,1299.9,1297.0,1298.2,1298.2,340745
2017-08-25,1291.9,1301.4,1281.3,1296.2,1296.2,158025712
2017-08-24,1293.6,1295.6,1289.3,1291.5,1291.5,131551312
2017-08-23,1291.1,1297.0,1290.1,1295.8,1295.8,125204666
2017-08-22,1294.3,1296.7,1287.2,1288.6,1288.6,143672610
2017-08-21,1291.4,1299.7,1289.9,1297.2,1297.2,139567768
2017-08-20,1289.1,1290.3,1286.2,1288.5,1288.5,560444
2017-08-18,1292.8,1306.9,1289.1,1290.1,1290.1,190069061
2017-08-17,1293.1,1296.0,1288.7,1290.6,1290.6,35104401
2017-08-16,1278.4,1278.9,1274.6,1276.1,1276.1,22871493
2017-08-15,1281.2,1281.7,1272.7,1278.2,1278.2,157864512
2017-08-14,1293.8,1294.0,1284.2,1286.7,1286.7,135404593
2017-08-13,1296.4,1296.4,1293.6,1294.3,1294.3,369038
2017-08-11,1291.9,1298.1,1286.7,1294.9,1294.9,143430579
2017-08-10,1282.2,1293.8,1282.1,1292.2,1292.2,136721259
2017-08-09,1270.8,1284.7,1270.0,1280.9,1280.9,152248854
2017-08-08,1265.5,1271.0,1257.1,1267.8,1267.8,110127158
2017-08-07,1264.2,1265.6,1261.3,1264.0,1264.0,67874280
2017-08-06,1264.3,1265.0,1262.3,1263.1,1263.1,250982
2017-08-04,1274.1,1276.5,1253.9,1264.3,1264.3,129009734
2017-08-03,1268.1,1277.0,1260.5,1275.3,1275.3,111757847
2017-08-02,1272.1,1279.0,1256.6,1269.0,1269.0,108957857
2017-08-01,1275.7,1280.3,1262.0,1274.0,1274.0,109291384
2017-07-31,1273.5,1276.4,1265.8,1273.8,1273.8,87437949
2017-07-30,1276.3,1277.3,1268.9,1276.5,1276.5,348795
2017-07-28,1257.6,1277.0,1256.9,1275.8,1275.8,112314202
2017-07-27,1263.8,1265.0,1253.9,1259.8,1259.8,114889241
2017-07-26,1246.7,1263.4,1243.2,1260.1,1260.1,94543230
2017-07-25,1255.0,1258.0,1246.7,1246.9,1246.9,119855912
2017-07-24,1254.8,1256.8,1253.4,1253.7,1253.7,34154822
2017-07-21,1244.6,1255.9,1244.0,1255.1,1255.1,112395455
2017-07-20,1237.3,1247.2,1234.6,1243.3,1243.3,129121074
2017-07-19,1241.0,1243.5,1235.1,1241.0,1241.0,107463363
2017-07-18,1236.5,1244.1,1234.5,1242.2,1242.2,127780223
2017-07-17,1230.4,1235.4,1228.5,1232.3,1232.3,92412934
2017-07-16,1228.7,1230.4,1227.5,1230.4,1230.4,456703
2017-07-14,1215.9,1232.6,1215.4,1228.0,1228.0,133360418
2017-07-13,1222.7,1223.6,1215.6,1217.1,1217.1,110876406
2017-07-12,1219.5,1225.1,1212.5,1218.4,1218.4,135665192
2017-07-11,1211.5,1217.5,1207.4,1216.7,1216.7,106082451
2017-07-10,1210.0,1215.0,1204.0,1213.0,1213.0,128440129
2017-07-09,1212.1,1213.4,1210.7,1212.5,1212.5,482504
2017-07-07,1220.0,1228.0,1206.6,1212.5,1212.5,162211409
2017-07-06,1226.4,1226.9,1218.5,1222.8,1222.8,107334555
2017-07-05,1219.2,1229.5,1216.5,1226.2,1226.2,315052667
2017-07-03,1225.2,1228.4,1218.5,1220.0,1220.0,43796287
2017-07-02,1241.7,1242.6,1240.5,1241.5,1241.5,221692
2017-06-30,1246.6,1247.3,1239.0,1241.5,1241.5,115296117
2017-06-29,1251.7,1253.0,1239.7,1246.3,1246.3,138817833
2017-06-28,1252.9,1255.2,1248.2,1249.9,1249.9,113552040
2017-06-27,1245.2,1253.8,1245.1,1249.5,1249.5,110584330
2017-06-26,1255.7,1255.9,1236.5,1243.8,1243.8,127358122
2017-06-25,1258.1,1259.0,1257.8,1258.2,1258.2,201652
2017-06-23,1252.9,1260.0,1252.2,1257.7,1257.7,87121479
2017-06-22,1253.1,1256.0,1247.5,1252.2,1252.2,104815268
2017-06-21,1247.1,1250.9,1241.7,1249.9,1249.9,86038215
2017-06-20,1246.4,1249.4,1242.4,1246.0,1246.0,89528714
2017-06-19,1254.3,1254.8,1244.3,1245.0,1245.0,91493448
2017-06-18,1255.8,1257.3,1254.9,1256.1,1256.1,200527
2017-06-16,1254.7,1258.6,1253.2,1255.2,1255.2,79775253
2017-06-15,1266.6,1266.9,1252.7,1255.7,1255.7,144838370
2017-06-14,1271.3,1284.2,1259.0,1265.3,1265.3,128000562
2017-06-13,1268.5,1271.0,1260.5,1269.0,1269.0,91584810
2017-06-12,1268.9,1272.4,1265.6,1267.4,1267.4,91834338
2017-06-11,1269.7,1270.2,1268.5,1269.3,1269.3,233890
2017-06-09,1276.5,1278.3,1266.7,1268.8,1268.8,117203552
2017-06-08,1286.5,1291.5,1273.5,1282.2,1282.2,127197134
2017-06-07,1293.9,1296.9,1285.0,1288.1,1288.1,104311763
