Points,Group
-0.019825983809034654,CNN
0.048398887810652526,CNN
0.0957224536123523,CNN
0.02443074919428483,CNN
0.0341417571289509,CNN
0.017777750115297215,CNN
0.019444065808020234,CNN
0.002991473192780577,CNN
-0.004689516891037038,CNN
0.07547545760202255,CNN
0.02744365029052981,CNN
0.021448486909214547,CNN
0.07776303304623618,CNN
0.06493027559142163,CNN
-0.025571920273325426,CNN
-0.029730494318427815,CNN
0.06286425973088582,CNN
0.07556838406822634,CNN
0.04797338518377584,CNN
0.0023502709796491095,CNN
-0.001656281716364335,CNN
-0.012860484396281166,CNN
0.04791450603731639,CNN
-0.009015979252352365,CNN
0.07455226977649335,CNN
0.11956833873630467,CNN
0.10954400562841066,CNN
-0.07055600934732116,CNN
0.017874692874692878,CNN
0.05358777328877026,CNN
0.06607428011836253,CNN
0.054355250512146985,CNN
0.02424484309079564,CNN
0.12355039495878986,CNN
0.030686913982878115,CNN
0.0405854430379747,CNN
0.06302231237322516,CNN
-0.004053521023744169,CNN
0.05715786684414206,CNN
0.038268759859668953,CNN
-0.10978674558579006,CNN
-0.04174807345044409,CNN
0.04848381503443355,CNN
-0.0010661004821278831,CNN
-0.01596012533630192,CNN
0.02209856465844489,CNN
-0.037488939210181885,CNN
0.0044533706375903676,CNN
-0.04108169336512521,CNN
-0.0005778085834265631,CNN
0.014742449128570121,CNN
0.0448476184051357,CNN
0.07740567865658461,CNN
0.13468913643720842,CNN
0.10103719667644097,CNN
0.011719882894681994,CNN
0.056686525649291594,CNN
0.09800469579105081,CNN
-0.015075076351463601,CNN
0.008399399082628897,CNN
0.052589917865771454,CNN
0.019954072275610423,CNN
0.034174807171785004,CNN
0.05767102203883813,CNN
0.05818547092373604,CNN
-0.05387051770896113,CNN
-0.02310566845487607,CNN
0.1383422111690228,CNN
0.05080155746196829,CNN
0.03288502039598638,CNN
0.11195349922473619,CNN
0.06909075082122319,CNN
0.07028704320412843,CNN
0.0838419661794341,CNN
0.07630504391188027,CNN
0.039160355235765616,CNN
-0.019202660008626422,CNN
0.06516645574070169,CNN
-0.048362009955011366,CNN
0.05963273900265432,CNN
0.0273159362899026,CNN
0.03717125450443755,CNN
0.1070167672875783,CNN
0.08269460278362087,CNN
0.0795611741734785,CNN
0.07815350035895104,CNN
-0.007940097861745458,CNN
0.07009539858503705,CNN
-0.00448046528365112,CNN
0.11684423677537019,CNN
0.009156134527433251,CNN
0.03798473293468527,CNN
0.08867470461688429,CNN
0.04405990724173725,CNN
0.07130477667613765,CNN
0.047318011959345437,CNN
0.0475694057135775,CNN
-0.07220832779155795,CNN
0.058412190679283854,CNN
0.2031157592974809,CNN
0.10097937338619266,CNN
0.09149583103989183,CNN
0.0729472835246478,CNN
0.0677903768874938,CNN
0.09768063161136492,CNN
0.09850474155196795,CNN
0.015416326727833976,CNN
0.14289706405314295,CNN
0.04184589091529155,CNN
0.06133256958567324,CNN
0.04160465339692577,CNN
0.018143918535670166,CNN
0.03542866884639034,CNN
0.0038722200308010067,CNN
0.037030485899275774,CNN
0.04160239381814683,CNN
0.08044186338800705,CNN
0.04374364458449667,CNN
0.09680189330571712,CNN
-0.01671599813318269,CNN
0.01347443105345709,CNN
0.10858380727473058,CNN
0.10076952505153185,CNN
0.0518974107653353,CNN
0.045301287813567064,CNN
0.00751099787971509,CNN
-0.025255547639268565,CNN
0.11286045350928804,CNN
0.05053970071536899,CNN
0.13936284262097665,CNN
0.030609778336495516,CNN
0.1272885770212145,CNN
0.09964620490984875,CNN
0.11570705478372324,CNN
0.0340158942528705,CNN
0.05801367886315831,CNN
0.07507702729509685,CNN
0.06323578756179735,CNN
0.06467434366813693,CNN
0.09007976439958026,CNN
0.20202658421859312,CNN
0.10952429895521178,CNN
0.13120007565720243,CNN
0.0581858692641646,CNN
0.06873628532575625,CNN
0.05226993514643664,CNN
0.11472244283037204,CNN
0.18145360012046163,CNN
0.2285929988395017,CNN
0.0528592645521268,CNN
0.1394806394508306,CNN
0.167280675283852,CNN
0.06454105928887818,CNN
0.09569956288118316,CNN
0.11904182612327752,CNN
0.03895075677252282,CNN
0.15099972741765486,CNN
0.17630031301399302,CNN
0.020106304093556227,CNN
0.0965582305157942,CNN
0.10604943738073203,CNN
0.04527843808517627,CNN
0.10743717143707307,CNN
0.05058943391669339,CNN
0.19238862237518312,CNN
0.07030275730894882,CNN
0.07976482978130406,CNN
0.024538820361621437,CNN
0.04100886283732985,CNN
0.004591761480472323,CNN
0.015111903498398192,CNN
0.15962233638250634,CNN
0.021260413971506055,CNN
0.010555915884127008,CNN
0.23514449486634253,CNN
0.04831925220204925,CNN
0.054092531038805805,CNN
0.07913026663026665,CNN
0.052845113448404125,CNN
0.07195079624150717,CNN
0.041241760354935084,CNN
0.028092735664671627,CNN
0.05066740316052962,CNN
0.05319245515725746,CNN
