,diff,volume,sp5_rate,KMlables,HIlables,DBlables
1,-0.12359999999999971,8993,0.001264222503160604,0,0,0
2,0.060000000000002274,9872,0.0050314465408805445,0,0,0
3,-0.09999999999999787,5398,-0.0021008403361344836,0,0,0
4,0.14999999999999858,25164,0.005432511491851191,0,0,0
5,0.00999999999999801,31946,-0.0012552301255230602,0,0,0
6,0.08999999999999986,34644,-0.0004185851820844709,0,0,0
7,-0.00999999999999801,4917,-0.0008378718056137232,0,0,0
8,-0.03500000000000014,6985,-0.0010484378276369105,0,0,0
9,0.18999999999999773,17976,0.0023012552301255114,0,0,0
10,-0.030000000000001137,35258,-0.007588532883642484,0,0,0
11,0.018499999999999517,9541,0.0032105696659998815,0,0,0
12,-0.1136000000000017,4318,0.00016806440227900942,0,0,0
13,-0.06709999999999994,10924,0.0013636611574755428,0,0,0
14,-0.019999999999999574,8836,0.0032245922208281683,0,0,0
15,0.0035999999999987153,17307,-4.182367973089262e-06,0,0,0
16,0.21999999999999886,17296,0.0025073007926574254,0,0,0
17,0.18759999999999977,15514,-0.006821351165174066,0,0,0
18,-0.1600999999999999,8308,-0.006668104304880865,0,0,0
19,0.05999999999999872,7919,0.005052587294909582,0,0,0
20,0.14000000000000057,6633,0.004606365159128954,0,0,0
21,-0.18499999999999872,11511,-0.012293344637558252,0,0,0
22,0.09499999999999886,12508,0.00778128286014716,0,0,0
23,-0.11999999999999744,27834,-0.004435994930291376,0,0,0
24,-0.08050000000000068,9337,0.007963118189438295,0,0,0
25,0.05000000000000071,8891,0.0012557555462537101,0,0,0
26,0.1311,21614,-0.0020973154362416407,0,0,0
27,-0.019999999999999574,16584,-0.004635482511588683,0,0,0
28,0.28000000000000114,42532,0.00377833753148614,0,0,0
29,0.21999999999999886,17870,-0.004215851602023669,0,0,0
30,-0.28000000000000114,17883,-0.0055108096651122936,0,0,0
31,0.03459999999999752,7815,0.002536997885835041,0,0,0
32,-0.19010000000000105,4335,-4.228347688563882e-06,0,0,0
33,-0.3017000000000003,2912,-0.008524520255863519,0,0,0
34,0.07699999999999818,10505,0.007491429296990714,0,0,0
35,0.11519999999999797,6617,0.0007697122460372599,0,0,0
36,0.16000000000000014,6020,-0.004895877603059837,0,0,0
37,-0.23000000000000043,6857,-0.0038395904436860006,0,0,0
38,-0.19000000000000128,6712,0.001278227524499258,0,0,0
39,0.14649999999999963,5958,0.008030431107354238,0,0,0
40,-0.0799999999999983,16113,-0.0016934801016087698,0,0,0
41,0.019999999999999574,24282,0.005054759898904694,0,0,0
42,0.030000000000001137,12882,0.00252100840336144,0,0,0
43,-0.05000000000000071,17430,-0.0004203446826398303,0,0,0
44,-0.03340000000000032,17357,-0.00041631448143608494,0,0,0
45,-0.019999999999999574,12675,0.004183417085427056,0,0,0
46,0.08179999999999765,20429,-0.0007627253601991559,0,0,0
47,0.14000000000000057,11708,-0.003018074821353495,0,0,0
48,-0.08990000000000009,6825,-0.0059154083915078925,0,0,0
49,0.019899999999999807,15689,0.0016842549598988152,0,0,0
50,-0.08000000000000185,17658,-0.0016913319238901776,0,0,0
51,-0.0799999999999983,11532,0.005466778805719199,0,0,0
52,0.020000000000003126,19130,0.013278008298755199,0,0,0
53,0.0,9991,0.0008291873963515577,0,0,0
54,0.06099999999999639,24714,-0.0020356445515351687,0,0,0
55,-0.04499999999999815,18005,-0.0023318759108889187,0,0,0
56,0.029400000000002535,13340,0.0022601311208422774,0,0,0
57,0.17999999999999972,20669,-0.0016396171452351454,0,0,0
