Date,CNNF&R,CNNPoints,FoxNewsF&R,FoxNewsPoints
2017/10/04,4956,-0.019825983809034654,105072.0,-0.011956483876595802
2017/10/03,18870,0.048398887810652526,297974.0,0.10852231450137854
2017/10/02,21621,0.0957224536123523,96857.0,0.025699961403059794
2017/10/01,19855,0.02443074919428483,73443.0,0.045001195227382544
2017/09/30,16613,0.0341417571289509,171650.0,0.03495482005776209
2017/09/29,22822,0.017777750115297215,83832.0,0.042921155949981464
2017/09/28,15006,0.019444065808020234,447069.0,0.13965325425747138
2017/09/27,6731,0.002991473192780577,132643.0,0.03616022307227271
2017/09/26,14867,-0.004689516891037038,266859.0,0.03453332230557282
2017/09/25,19729,0.07547545760202255,176749.0,0.071631290908557
2017/09/24,68691,0.02744365029052981,167388.0,0.09398576023576025
2017/09/23,14705,0.021448486909214547,204642.0,0.044968806965910435
2017/09/22,15360,0.07776303304623618,143692.0,0.21642342693491157
2017/09/21,11291,0.06493027559142163,112212.0,0.10410022633731997
2017/09/20,5978,-0.025571920273325426,186858.0,0.014488897611870681
2017/09/19,15398,-0.029730494318427815,146391.0,0.046395360024527786
2017/09/18,19704,0.06286425973088582,213322.0,0.052361118427968076
2017/09/17,31705,0.07556838406822634,150168.0,0.03336678971339818
2017/09/16,33174,0.04797338518377584,201286.0,0.02299474485479722
2017/09/15,25182,0.0023502709796491095,116847.0,0.054326483735326066
2017/09/14,18641,-0.001656281716364335,88291.0,0.06401718499806074
2017/09/13,5629,-0.012860484396281166,134531.0,0.04621170771853514
2017/09/12,23691,0.04791450603731639,82702.0,0.04508582300896877
2017/09/11,25923,-0.009015979252352365,89295.0,0.09061239455339068
2017/09/10,16808,0.07455226977649335,203227.0,0.05060159455255824
2017/09/09,27580,0.11956833873630467,151594.0,0.055509621626239056
2017/09/08,17807,0.10954400562841066,160957.0,0.09075610968883707
2017/09/07,12799,-0.07055600934732116,86207.0,0.05390673208205137
2017/09/06,1924,0.017874692874692878,157217.0,0.035428549203061516
2017/09/05,13591,0.05358777328877026,154563.0,0.0630870987026163
2017/09/04,18783,0.06607428011836253,130271.0,0.1185690344890205
2017/09/03,22381,0.054355250512146985,91084.0,0.017921446253809772
2017/09/02,25794,0.02424484309079564,181191.0,0.07949107597948807
2017/09/01,18940,0.12355039495878986,241428.0,0.05385900505448571
2017/08/31,9812,0.030686913982878115,216865.0,0.04819378158967305
2017/08/30,5056,0.0405854430379747,84344.0,0.07998806697481174
2017/08/29,2465,0.06302231237322516,225897.0,0.19188459239404476
2017/08/28,20301,-0.004053521023744169,233314.0,0.40542643811637524
2017/08/27,27046,0.05715786684414206,181503.0,0.14106812417261824
2017/08/26,24354,0.038268759859668953,162159.0,0.1744675397237234
2017/08/25,83725,-0.10978674558579006,211931.0,0.11581631695205216
2017/08/24,139667,-0.04174807345044409,105250.0,0.044871282951674876
2017/08/23,64912,0.04848381503443355,133163.0,0.18951741528915741
2017/08/22,75346,-0.0010661004821278831,85686.0,0.15106805852693456
2017/08/21,47808,-0.01596012533630192,83965.0,0.2996828640635585
2017/08/20,61790,0.02209856465844489,138548.0,0.19848259958853398
2017/08/19,32157,-0.037488939210181885,109405.0,0.12193881968338122
2017/08/18,42889,0.0044533706375903676,98624.0,0.13341000895262545
2017/08/17,10828,-0.04108169336512521,65198.0,0.05387523506484211
2017/08/16,3738,-0.0005778085834265631,74138.0,0.08141246263565452
2017/08/15,29224,0.014742449128570121,56462.0,0.13350710016666767
2017/08/14,35711,0.0448476184051357,131266.0,0.23181666030137843
2017/08/13,37253,0.07740567865658461,75586.0,0.12687374699552878
2017/08/12,31509,0.13468913643720842,148720.0,0.10930304210406919
2017/08/11,32513,0.10103719667644097,91458.0,0.04609405561994455
2017/08/10,13813,0.011719882894681994,99093.0,0.10978681584249082
2017/08/09,6110,0.056686525649291594,70764.0,0.17256384313535544
2017/08/08,40579,0.09800469579105081,77720.0,0.019921510153368113
2017/08/07,39034,-0.015075076351463601,110088.0,0.14752228391867817
2017/08/06,58604,0.008399399082628897,121109.0,0.15943768768422592
2017/08/05,33564,0.052589917865771454,86524.0,0.1709846856293506
2017/08/04,29334,0.019954072275610423,65971.0,0.11412563465564028
2017/08/03,22335,0.034174807171785004,56844.0,0.1261598472511234
2017/08/02,10179,0.05767102203883813,87891.0,0.15336626168025283
2017/08/01,62719,0.05818547092373604,111924.0,0.23547269362409548
2017/07/31,78440,-0.05387051770896113,29398.0,0.12581136066917414
2017/07/30,50228,-0.02310566845487607,59062.0,0.23310544640651143
2017/07/29,37797,0.1383422111690228,137867.0,0.1487385510227452
2017/07/28,43426,0.05080155746196829,144667.0,0.1759981073267621
2017/07/27,30777,0.03288502039598638,39683.0,0.09806137703348097
2017/07/26,10065,0.11195349922473619,72235.0,0.16541992046162457
2017/07/25,42107,0.06909075082122319,8671.0,0.15534115226768902
2017/07/24,36833,0.07028704320412843,48512.0,-0.021333151277546474
2017/07/23,60788,0.0838419661794341,99933.0,0.13981765450600817
2017/07/22,34843,0.07630504391188027,151413.0,0.18046698590141855
2017/07/21,39779,0.039160355235765616,89241.0,0.09994171000028733
2017/07/20,11967,-0.019202660008626422,65610.0,0.3242884953790304
2017/07/19,9482,0.06516645574070169,62262.0,0.13933734987507757
2017/07/18,43666,-0.048362009955011366,124148.0,0.10460523082618284
2017/07/17,42161,0.05963273900265432,90386.0,0.0760745764701521
2017/07/16,35262,0.0273159362899026,116405.0,0.130608006203524
2017/07/15,28834,0.03717125450443755,114731.0,0.22899737391341662
