timestamp,open,high,low,close,adjusted_close,volume,increase_ratei
2017-10-03,6523.7402,6532.1802,6509.71,6531.71,6531.71,1969320000.0,-0.00044703454378713545
2017-10-02,6506.0801,6527.2202,6484.1401,6516.7202,6516.7202,1977030000.0,-0.002300206168127379
2017-09-29,6461.2798,6497.98,6454.8599,6495.96,6495.96,1967720000.0,-0.0031958632750201223
2017-09-28,6437.96,6456.23,6427.6602,6453.4502,6453.4502,1828570000.0,-0.006587143106798874
2017-09-27,6414.3701,6472.6499,6405.3599,6453.2598,6453.2598,2053720000.0,-2.950446842391328e-05
2017-09-26,6391.8501,6405.0,6364.5698,6380.1602,6380.1602,1926420000.0,-0.011457329864538441
2017-09-25,6403.1099,6408.0498,6343.96,6370.5898,6370.5898,2050410000.0,-0.0015022784860517183
2017-09-22,6401.4399,6429.54,6400.8101,6426.9199,6426.9199,1639100000.0,0.008764711693388326
2017-09-21,6448.5698,6448.5698,6405.2998,6422.6899,6422.6899,1772790000.0,-0.0006586025584077418
2017-09-20,6459.7402,6466.0498,6414.23,6456.04,6456.04,2052520000.0,0.005165720782399064
2017-09-19,6465.5698,6467.79,6446.75,6461.3198,6461.3198,1809710000.0,0.0008171395571536717
2017-09-18,6460.1001,6477.77,6438.4102,6454.6401,6454.6401,1874440000.0,-0.0010348679239297314
2017-09-15,6426.1602,6464.27,6419.6499,6448.4702,6448.4702,2821110000.0,-0.0009568005757396336
2017-09-14,6439.46,6455.3198,6424.04,6429.0801,6429.0801,1809170000.0,-0.0030159991318197484
2017-09-13,6440.7202,6460.4199,6433.2002,6460.1899,6460.1899,1942090000.0,0.004815616952684344
2017-09-12,6448.8101,6455.0298,6429.54,6454.2798,6454.2798,1745090000.0,-0.0009156869833873729
2017-09-11,6411.1802,6439.1099,6410.71,6432.2598,6432.2598,1898236351.9333332,-0.003423369186673778
2017-09-08,6389.6499,6391.4102,6354.96,6360.1899,6360.1899,1785560000.0,-0.011331406944311444
2017-09-07,6402.9399,6413.0698,6379.8101,6397.8701,6397.8701,1998380000.0,0.005889491254284732
2017-09-06,6394.3501,6407.3999,6356.2002,6393.3101,6393.3101,1906030000.0,-0.000713245553348085
2017-09-05,6414.8198,6426.5098,6334.5898,6375.5698,6375.5698,1886950000.0,-0.0027825434520377264
2017-09-01,6442.1699,6449.6499,6417.8701,6435.3301,6435.3301,1488040000.0,0.009286283542782043
2017-08-31,6385.7998,6435.27,6383.5801,6428.6602,6428.6602,1885710000.0,-0.001037525672923243
2017-08-30,6308.6802,6374.4702,6303.5698,6368.3101,6368.3101,1712070000.0,-0.009476627088244425
2017-08-29,6228.8999,6311.2598,6228.73,6301.8901,6301.8901,1637640000.0,-0.010539695067040295
2017-08-28,6286.0098,6292.2598,6267.8501,6283.02,6283.02,1558690000.0,-0.0030033487081052076
2017-08-25,6293.8101,6308.7202,6257.1001,6265.6401,6265.6401,1442900000.0,-0.00277384269166702
2017-08-24,6294.8198,6302.8501,6244.5698,6271.3301,6271.3301,1616780000.0,0.0009073035399620423
2017-08-23,6263.4702,6291.2998,6263.29,6278.4102,6278.4102,1533220000.0,0.0011276899365384137
2017-08-22,6241.21,6302.8398,6241.21,6297.48,6297.48,1597700000.0,0.003028163646410835
2017-08-21,6216.3198,6226.9302,6177.1899,6213.1299,6213.1299,1576070000.0,-0.013576104372129683
2017-08-18,6222.46,6254.2202,6193.3799,6216.5298,6216.5298,1964590000.0,0.0005469128451697188
2017-08-17,6322.7202,6334.23,6221.9102,6221.9102,6221.9102,2041220000.0,0.000864750507006676
2017-08-16,6348.1099,6374.5601,6330.27,6345.1099,6345.1099,1804730000.0,0.019416480083347353
2017-08-15,6350.5098,6350.7402,6324.75,6333.0098,6333.0098,1580060000.0,-0.0019106397087843708
2017-08-14,6306.1099,6346.8301,6305.5498,6340.23,6340.23,1698560000.0,0.0011387914949457275
2017-08-11,6222.1802,6266.8901,6216.1899,6256.5601,6256.5601,1794850000.0,-0.013373147330591435
2017-08-10,6312.6499,6318.2798,6214.4102,6216.8701,6216.8701,2204700000.0,-0.006384241485116377
2017-08-09,6322.9199,6355.04,6309.4399,6352.3301,6352.3301,2033760000.0,0.021324458563637936
2017-08-08,6373.3301,6423.3501,6355.8799,6370.46,6370.46,1914670000.0,0.0028459326328082912
2017-08-07,6361.0601,6386.0298,6356.23,6383.77,6383.77,1701550000.0,0.0020849748659491803
2017-08-04,6350.79,6361.4902,6329.73,6351.5601,6351.5601,1907170000.0,-0.005071179283968477
2017-08-03,6366.2402,6368.5298,6331.1401,6340.3398,6340.3398,2113440000.0,-0.0017696685594043324
2017-08-02,6393.1001,6394.21,6313.4302,6362.6499,6362.6499,2104130000.0,0.003506416406786833
2017-08-01,6372.1602,6375.75,6345.75,6362.9399,6362.9399,1812590000.0,4.557641664978851e-05
2017-07-31,6394.6899,6396.5898,6338.79,6348.1201,6348.1201,1891710000.0,-0.0023345178992439375
2017-07-28,6350.27,6379.7002,6337.2202,6374.6802,6374.6802,1860770000.0,0.004166499207285676
2017-07-27,6459.7598,6460.8398,6318.6201,6382.1899,6382.1899,2483560000.0,0.0011766650816830944
2017-07-26,6425.9302,6432.3799,6416.2998,6422.75,6422.75,1988040000.0,0.006315067533377399
2017-07-25,6407.5898,6425.4502,6396.8701,6412.1699,6412.1699,1925230000.0,-0.0016500030668245597
2017-07-24,6387.8198,6417.7002,6380.6099,6410.8101,6410.8101,1735520000.0,-0.00021211047883015248
2017-07-21,6383.0498,6388.7798,6365.1201,6387.75,6387.75,1797100000.0,-0.0036100504872607245
2017-07-20,6396.46,6398.2598,6365.6802,6390.0,6390.0,1818880000.0,0.00035211267605633805
2017-07-19,6363.2402,6387.73,6362.1899,6385.04,6385.04,1862910000.0,-0.0007768158069487484
2017-07-18,6304.8198,6344.5498,6291.0698,6344.3101,6344.3101,1762400000.0,-0.006419910022998446
2017-07-17,6320.3501,6330.9702,6307.3398,6314.4302,6314.4302,1558030000.0,-0.004732002580375329
2017-07-14,6289.0801,6321.7598,6278.7002,6312.4702,6312.4702,1608120000.0,-0.0003104965152944463
2017-07-13,6269.1001,6281.4502,6251.2598,6274.4399,6274.4399,1803810000.0,-0.006061146589355242
2017-07-12,6238.8999,6265.6401,6236.8198,6261.1699,6261.1699,1820550000.0,-0.0021194122203903837
2017-07-11,6171.25,6200.5801,6149.8701,6193.2998,6193.2998,1808110000.0,-0.010958633069886281
2017-07-10,6156.0298,6191.27,6141.8301,6176.3901,6176.3901,1675470000.0,-0.002737796629782202
2017-07-07,6111.21,6164.9399,6111.21,6153.0801,6153.0801,1700630000.0,-0.00378834658758944
2017-07-06,6109.6001,6127.98,6081.96,6089.46,6089.46,1990590000.0,-0.010447576632410771
2017-07-05,6122.0601,6163.6201,6100.4199,6150.8599,6150.8599,1872130000.0,0.009982327836795687
2017-07-03,6173.29,6177.3599,6106.1201,6110.0601,6110.0601,1099560000.0,-0.006677479326267296
2017-06-30,6166.8398,6170.6299,6129.04,6140.4199,6140.4199,1998330000.0,0.0049442547080534634
2017-06-29,6215.4902,6216.6001,6087.8101,6144.3501,6144.3501,2402250000.0,0.0006396445410882082
2017-06-28,6173.1001,6238.29,6144.7998,6234.4102,6234.4102,2069400000.0,0.014445648764016298
2017-06-27,6227.8999,6234.3198,6146.6201,6146.6201,6146.6201,2181830000.0,-0.014282662434270205
2017-06-26,6292.73,6303.4502,6233.4302,6247.1499,6247.1499,2150630000.0,0.016092106257927355
2017-06-23,6234.3501,6269.3701,6218.7798,6265.25,6265.25,2704600000.0,0.002888966920713404
2017-06-22,6239.1499,6257.6802,6221.96,6236.6899,6236.6899,2170250000.0,-0.00457936829599299
2017-06-21,6202.75,6236.6602,6200.8599,6233.9502,6233.9502,2401440000.0,-0.0004394805720456484
2017-06-20,6229.6201,6234.0098,6186.9399,6188.0298,6188.0298,2570130000.0,-0.007420843383785898
